Test Type,Port Number / Nameserver,Result of Test
Port Egress,834,open
Port Egress,835,open
Port Egress,836,open
Port Egress,837,open
Port Egress,838,open
Port Egress,839,open
Port Egress,840,open
Port Egress,841,open
Port Egress,842,open
Port Egress,843,open
Port Egress,844,open
Port Egress,846,open
Port Egress,845,open
Port Egress,847,open
Port Egress,849,open
Port Egress,848,open
Port Egress,850,open
Port Egress,851,open
Port Egress,852,open
Port Egress,853,open
Port Egress,854,open
Port Egress,855,open
Port Egress,857,open
Port Egress,856,open
Port Egress,858,open
Port Egress,859,open
Port Egress,860,open
Port Egress,861,open
Port Egress,862,open
Port Egress,863,open
Port Egress,864,open
Port Egress,865,open
Port Egress,866,open
Port Egress,867,open
Port Egress,868,open
Port Egress,869,open
Port Egress,871,open
Port Egress,870,open
Port Egress,872,open
Port Egress,874,open
Port Egress,873,open
Port Egress,875,open
Port Egress,876,open
Port Egress,877,open
Port Egress,878,open
Port Egress,879,open
Port Egress,880,open
Port Egress,882,open
Port Egress,881,open
Port Egress,883,open
Port Egress,884,open
Port Egress,886,open
Port Egress,885,open
Port Egress,887,open
Port Egress,888,open
Port Egress,889,open
Port Egress,890,open
Port Egress,891,open
Port Egress,892,open
Port Egress,893,open
Port Egress,894,open
Port Egress,895,open
Port Egress,896,open
Port Egress,898,open
Port Egress,897,open
Port Egress,899,open
Port Egress,900,open
Port Egress,901,open
Port Egress,902,open
Port Egress,903,open
Port Egress,904,open
Port Egress,905,open
Port Egress,906,open
Port Egress,907,open
Port Egress,908,open
Port Egress,909,open
Port Egress,910,open
Port Egress,911,open
Port Egress,912,open
Port Egress,913,open
Port Egress,914,open
Port Egress,915,open
Port Egress,916,open
Port Egress,917,open
Port Egress,918,open
Port Egress,919,open
Port Egress,920,open
Port Egress,921,open
Port Egress,922,open
Port Egress,923,open
Port Egress,924,open
Port Egress,925,open
Port Egress,926,open
Port Egress,927,open
Port Egress,928,open
Port Egress,929,open
Port Egress,930,open
Port Egress,931,open
Port Egress,932,open
Port Egress,933,open
Port Egress,934,open
Port Egress,935,open
Port Egress,936,open
Port Egress,937,open
Port Egress,939,open
Port Egress,938,open
Port Egress,940,open
Port Egress,941,open
Port Egress,942,open
Port Egress,943,open
Port Egress,944,open
Port Egress,945,open
Port Egress,946,open
Port Egress,947,open
Port Egress,948,open
Port Egress,949,open
Port Egress,951,open
Port Egress,950,open
Port Egress,952,open
Port Egress,953,open
Port Egress,954,open
Port Egress,955,open
Port Egress,956,open
Port Egress,957,open
Port Egress,958,open
Port Egress,959,open
Port Egress,960,open
Port Egress,961,open
Port Egress,962,open
Port Egress,964,open
Port Egress,963,open
Port Egress,965,open
Port Egress,966,open
Port Egress,967,open
Port Egress,968,open
Port Egress,969,open
Port Egress,970,open
Port Egress,971,open
Port Egress,972,open
Port Egress,973,open
Port Egress,974,open
Port Egress,975,open
Port Egress,976,open
Port Egress,977,open
Port Egress,978,open
Port Egress,979,open
Port Egress,980,open
Port Egress,981,open
Port Egress,982,open
Port Egress,983,open
Port Egress,984,open
Port Egress,985,open
Port Egress,986,open
Port Egress,987,open
Port Egress,988,open
Port Egress,989,open
Port Egress,990,open
Port Egress,991,open
Port Egress,992,open
Port Egress,994,open
Port Egress,993,open
Port Egress,995,open
Port Egress,996,open
Port Egress,997,open
Port Egress,998,open
Port Egress,1000,open
Port Egress,999,open
Port Egress,1001,open
Port Egress,1002,open
Port Egress,1004,open
Port Egress,1003,open
Port Egress,1005,open
Port Egress,1007,open
Port Egress,1006,open
Port Egress,1008,open
Port Egress,1010,open
Port Egress,1009,open
Port Egress,1011,open
Port Egress,1013,open
Port Egress,1012,open
Port Egress,1014,open
Port Egress,1015,open
Port Egress,1016,open
Port Egress,1017,open
Port Egress,1018,open
Port Egress,1019,open
Port Egress,1020,open
Port Egress,1021,open
Port Egress,1022,open
Port Egress,1023,open
Port Egress,1024,open
Port Egress,1026,open
Port Egress,1025,open
Port Egress,1028,open
Port Egress,1027,open
Port Egress,1029,open
Port Egress,1031,open
Port Egress,1030,open
Port Egress,1032,open
Port Egress,1033,open
Port Egress,1034,open
Port Egress,1035,open
Port Egress,1036,open
Port Egress,1037,open
Port Egress,1038,open
Port Egress,1039,open
Port Egress,1040,open
Port Egress,1041,open
Port Egress,1042,open
Port Egress,1043,open
Port Egress,1044,open
Port Egress,1045,open
Port Egress,1046,open
Port Egress,1047,open
Port Egress,1048,open
Port Egress,1049,open
Port Egress,1050,open
Port Egress,1051,open
Port Egress,1052,open
Port Egress,1053,open
Port Egress,1054,open
Port Egress,1055,open
Port Egress,1056,open
Port Egress,1057,open
Port Egress,1058,open
Port Egress,1059,open
Port Egress,1060,open
Port Egress,1061,open
Port Egress,1062,open
Port Egress,1063,open
Port Egress,1064,open
Port Egress,1065,open
Port Egress,1066,open
Port Egress,1067,open
Port Egress,1069,open
Port Egress,1068,open
Port Egress,1070,open
Port Egress,1071,open
Port Egress,1072,open
Port Egress,1073,open
Port Egress,1074,open
Port Egress,1075,open
Port Egress,1076,open
Port Egress,1077,open
Port Egress,1078,open
Port Egress,1079,open
Port Egress,1080,open
Port Egress,1081,open
Port Egress,1084,open
Port Egress,1083,open
Port Egress,1082,open
Port Egress,1085,open
Port Egress,1086,open
Port Egress,1087,open
Port Egress,1088,open
Port Egress,1089,open
Port Egress,1090,open
Port Egress,1091,open
Port Egress,1092,open
Port Egress,1093,open
Port Egress,1094,open
Port Egress,1095,open
Port Egress,1096,open
Port Egress,1097,open
Port Egress,1098,open
Port Egress,1099,open
Port Egress,1100,open
Port Egress,1101,open
Port Egress,1102,open
Port Egress,1104,open
Port Egress,1103,open
Port Egress,1105,open
Port Egress,1106,open
Port Egress,1107,open
Port Egress,1108,open
Port Egress,1109,open
Port Egress,1110,open
Port Egress,1111,open
Port Egress,1112,open
Port Egress,1113,open
Port Egress,1114,open
Port Egress,1115,open
Port Egress,1116,open
Port Egress,1117,open
Port Egress,1118,open
Port Egress,1119,open
Port Egress,1120,open
Port Egress,1121,open
Port Egress,1122,open
Port Egress,1123,open
Port Egress,1124,open
Port Egress,1125,open
Port Egress,1126,open
Port Egress,1127,open
Port Egress,1128,open
Port Egress,1129,open
Port Egress,1130,open
Port Egress,1131,open
Port Egress,1132,open
Port Egress,1133,open
Port Egress,1134,open
Port Egress,1135,open
Port Egress,1136,open
Port Egress,1138,open
Port Egress,1137,open
Port Egress,1139,open
Port Egress,1141,open
Port Egress,1140,open
Port Egress,1142,open
Port Egress,1144,open
Port Egress,1143,open
Port Egress,1145,open
Port Egress,1146,open
Port Egress,1147,open
Port Egress,1149,open
Port Egress,1148,open
Port Egress,1150,open
Port Egress,1152,open
Port Egress,1151,open
Port Egress,1153,open
Port Egress,1154,open
Port Egress,1155,open
Port Egress,1156,open
Port Egress,1157,open
Port Egress,1158,open
Port Egress,1159,open
Port Egress,1160,open
Port Egress,1161,open
Port Egress,1162,open
Port Egress,1163,open
Port Egress,1164,open
Port Egress,1166,open
Port Egress,1165,open
Port Egress,1167,open
Port Egress,1168,open
Port Egress,1169,open
Port Egress,1170,open
Port Egress,1171,open
Port Egress,1172,open
Port Egress,1173,open
Port Egress,1174,open
Port Egress,1175,open
Port Egress,1176,open
Port Egress,1177,open
Port Egress,1178,open
Port Egress,1179,open
Port Egress,1180,open
Port Egress,1181,open
Port Egress,1182,open
Port Egress,1183,open
Port Egress,1184,open
Port Egress,1185,open
Port Egress,1186,open
Port Egress,1187,open
Port Egress,1188,open
Port Egress,1189,open
Port Egress,1190,open
Port Egress,1192,open
Port Egress,1191,open
Port Egress,1193,open
Port Egress,1194,open
Port Egress,1195,open
Port Egress,1197,open
Port Egress,1196,open
Port Egress,1198,open
Port Egress,1199,open
Port Egress,1200,open
Port Egress,1201,open
Port Egress,1202,open
Port Egress,1203,open
Port Egress,1204,open
Port Egress,1205,open
Port Egress,1206,open
Port Egress,1207,open
Port Egress,1208,open
Port Egress,1209,open
Port Egress,1210,open
Port Egress,1211,open
Port Egress,1212,open
Port Egress,1213,open
Port Egress,1214,open
Port Egress,1215,open
Port Egress,1217,open
Port Egress,1216,open
Port Egress,1218,open
Port Egress,1219,open
Port Egress,1220,open
Port Egress,1221,open
Port Egress,1222,open
Port Egress,1223,open
Port Egress,1224,open
Port Egress,1225,open
Port Egress,1226,open
Port Egress,1227,open
Port Egress,1228,open
Port Egress,1229,open
Port Egress,1230,open
Port Egress,1231,open
Port Egress,1232,open
Port Egress,1233,open
Port Egress,1234,open
Port Egress,1235,open
Port Egress,1236,open
Port Egress,1237,open
Port Egress,1238,open
Port Egress,1240,open
Port Egress,1239,open
Port Egress,1241,open
Port Egress,1242,open
Port Egress,1243,open
Port Egress,1244,open
Port Egress,1245,open
Port Egress,1246,open
Port Egress,1247,open
Port Egress,1248,open
Port Egress,1249,open
Port Egress,1250,open
Port Egress,1251,open
Port Egress,1253,open
Port Egress,1252,open
Port Egress,1254,open
Port Egress,1255,open
Port Egress,1256,open
Port Egress,1257,open
Port Egress,1258,open
Port Egress,1259,open
Port Egress,1260,open
Port Egress,1261,open
Port Egress,1262,open
Port Egress,1264,open
Port Egress,1263,open
Port Egress,1265,open
Port Egress,1266,open
Port Egress,1267,open
Port Egress,1268,open
Port Egress,1269,open
Port Egress,1270,open
Port Egress,1271,open
Port Egress,1272,open
Port Egress,1273,open
Port Egress,1274,open
Port Egress,1275,open
Port Egress,1276,open
Port Egress,1277,open
Port Egress,1279,open
Port Egress,1278,open
Port Egress,1280,open
Port Egress,1281,open
Port Egress,1282,open
Port Egress,1283,open
Port Egress,1284,open
Port Egress,1285,open
Port Egress,1286,open
Port Egress,1287,open
Port Egress,1288,open
Port Egress,1289,open
Port Egress,1290,open
Port Egress,1291,open
Port Egress,1292,open
Port Egress,1293,open
Port Egress,1294,open
Port Egress,1295,open
Port Egress,1296,open
Port Egress,1297,open
Port Egress,1298,open
Port Egress,1299,open
Port Egress,1300,open
Port Egress,1301,open
Port Egress,1303,open
Port Egress,1302,open
Port Egress,1305,open
Port Egress,1304,open
Port Egress,1306,open
Port Egress,1307,open
Port Egress,1308,open
Port Egress,1309,open
Port Egress,1310,open
Port Egress,1311,open
Port Egress,1312,open
Port Egress,1313,open
Port Egress,1314,open
Port Egress,1315,open
Port Egress,1316,open
Port Egress,1317,open
Port Egress,1319,open
Port Egress,1318,open
Port Egress,1320,open
Port Egress,1321,open
